Strategy,End Value,CAGR,Sharpe,Sortino,Max Drawdown,Num Trades,Pct Invested,CAGR While Invested
UPRO B&H,10161340.752829,0.319872,0.801512,0.987064,-0.768168,1,100.000000,0.319872
VIX<15,301299.629637,0.068482,0.497086,0.367251,-0.393158,121,34.270734,0.213225
VIX<20,525237.550782,0.104746,0.492431,0.515568,-0.573930,134,68.732126,0.155962
VIX<25,2670050.169269,0.218071,0.725675,0.845946,-0.564093,77,85.891325,0.258188
VIX<30,3697069.654603,0.242113,0.734716,0.890974,-0.726887,43,93.851287,0.259883
Dual Momentum,928374.636944,0.143191,0.580156,0.566782,-0.507468,76,63.131554,0.236117
HFEA 55/45,3343738.378495,0.234642,0.874001,1.141098,-0.706166,66,100.000000,0.234642
DD10%/Cool20,789683.612328,0.132136,0.540586,0.583036,-0.573251,79,70.471878,0.192566
DD10%/Cool40,1387080.650542,0.171093,0.682564,0.691179,-0.538376,61,63.131554,0.284247
DD10%/Cool60,1178996.334272,0.159717,0.688749,0.657755,-0.507240,52,58.317445,0.289282
DD15%/Cool20,1775347.923989,0.188580,0.649558,0.752462,-0.503926,46,81.101049,0.237406
DD15%/Cool40,2236876.664446,0.205191,0.724008,0.786832,-0.504268,37,73.760724,0.287924
DD15%/Cool60,432211.855798,0.091888,0.443497,0.449648,-0.432185,36,67.040038,0.140114
DD20%/Cool20,8961497.651746,0.309949,0.868098,1.067519,-0.553113,29,86.916111,0.364286
DD20%/Cool40,5479644.563977,0.271817,0.846791,0.977789,-0.431642,24,80.505243,0.348067
DD20%/Cool60,1076721.233378,0.153414,0.598084,0.636376,-0.640512,24,74.094376,0.212431
DD25%/Cool20,8470101.395076,0.305520,0.842976,1.044842,-0.586010,19,91.682555,0.337481
DD25%/Cool40,8029819.187799,0.301342,0.882680,1.048725,-0.460580,16,85.986654,0.358419
DD25%/Cool60,1669762.099631,0.184211,0.654297,0.718503,-0.642948,16,80.266921,0.234472
Composite 2of3,1880091.759543,0.192679,0.670458,0.772191,-0.637038,55,84.532888,0.231758
Composite 3of3,929714.423715,0.143290,0.609193,0.644111,-0.492032,110,70.090562,0.210523
